RQ_ID,Subquestion_ID,Subquestion,Parameter_ID,Parameter_Name,Response,,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.1,At which stages of the software lifecycle is energy efficiency considered in microservice-based systems?,RQ1.1.P1,Lifecycle Stage,"The stages of the software lifecycle in which energy efficiency is considered for microservice-based systems, as detailed in the GreenFog framework, include designing (through optimization techniques and algorithmic solutions), deployment (via dynamic adjustment of Quality of Service, or QoS, based on available green energy), and runtime (through autoscaling of resources based on energy availability and QoS requirements)【4:2†source】【4:4†source】【4:6†source】.",,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.1,At which stages of the software lifecycle is energy efficiency considered in microservice-based systems?,RQ1.1.P2,Energy Awareness Stage,"Energy efficiency in microservice-based systems, specifically within the GreenFog framework, is first explicitly considered during the design stage through optimization techniques and algorithmic solutions【4:2†source】.",,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.1,At which stages of the software lifecycle is energy efficiency considered in microservice-based systems?,RQ1.1.P3,Integration Approach,"Energy-efficiency concerns are integrated into the lifecycle of microservice-based systems through:
- Dynamic Quality of Service (QoS) management based on load shaping in a renewable-powered Fog environment.
- An optimal offline model for load shaping with prior knowledge of renewables availability to set the required QoS for the hosted IoT application.
- A reactive heuristic approach based on linear regression modeling and profiling to handle the complexity of the optimal model and the lack of prior knowledge of energy availability.
- Machine learning techniques using Multi Armed Bandit (MAB) to dynamically adapt QoS to maximum renewable energy utilization .",,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.2,"Which microservice architectural elements are primarily considered when measuring energy consumption, and how do they impact energy efficiency?",RQ1.2.P1,Component Type,"The microservice architectural elements primarily considered when measuring energy consumption in the context of the GreenFog framework are pods and nodes (workers). Energy consumption measurements focus on aspects like energy consumed per pod, energy consumed by the servers (nodes) when running or shut down, and the energy needed to service a task【14:0†source】. These elements impact energy efficiency by allowing the system to adjust the number of active pods and whether nodes should be on or off, directly influencing the total energy consumption and the utilization of green energy sources【14:0†source】【14:3†source】.",,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.2,"Which microservice architectural elements are primarily considered when measuring energy consumption, and how do they impact energy efficiency?",RQ1.2.P2,Energy Consumption Source,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ1,RQ1.2,"Which microservice architectural elements are primarily considered when measuring energy consumption, and how do they impact energy efficiency?",RQ1.2.P3,Component Relationship,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.1,What methods are used to measure energy consumption in microservices?,RQ2.1.P1,Measurement Level,"The methods used to measure energy consumption in microservices within the GreenFog framework cover various levels of abstraction, focusing on pods and servers (nodes). This includes measuring the energy consumed per pod, the energy consumed by servers when running or shut down, and the energy needed to service a task, alongside the processing time for these tasks. To obtain these measurements, the system was observed under different conditions, such as with a varying number of pods, server power states (on or off), and during task handling. This comprehensive approach allows for a nuanced understanding of energy consumption across both the hardware (servers) and the container level (pods), enabling the framework to optimize energy usage by adjusting resource allocations in response to the availability of green energy and the workload demands【24:0†source】.",,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.1,What methods are used to measure energy consumption in microservices?,RQ2.1.P2,Measurement Technique,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.1,What methods are used to measure energy consumption in microservices?,RQ2.1.P3,Data Collection,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.1,What methods are used to measure energy consumption in microservices?,RQ2.1.P4,Implementation Approach,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.2,What tools are employed for energy consumption analysis in microservices?,RQ2.2.P1,Tool Type,"The tools employed for energy consumption analysis in the GreenFog framework are not explicitly stated in the provided document sections, so there is no specific mention of the categories of tools used such as profiler, monitoring platform, energy meter, or simulator .",,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.2,What tools are employed for energy consumption analysis in microservices?,RQ2.2.P2,Deployment Method,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.2,What tools are employed for energy consumption analysis in microservices?,RQ2.2.P3,Analysis Capability,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.2,What tools are employed for energy consumption analysis in microservices?,RQ2.2.P4,Granularity,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.3,What energy efficiency metrics are commonly used to evaluate microservices?,RQ2.3.P1,Metric Type,"The energy efficiency metrics commonly used to evaluate microservices, as delineated in the paper, focus on direct measurements and optimization of energy consumption across different architectural components within the system. It particularly emphasizes metrics such as energy consumed per pod, energy consumed by servers (nodes) when running or shut down, the energy required to service a task, and the overall power consumption patterns under various conditions like the number of active pods, server power states, and task processing times. These metrics facilitate a detailed analysis of energy efficiency at both the container (pod) and hardware (server/node) levels, highlighting the framework's capacity to adjust resource allocations to optimize for green energy utilization and workload demands【24:0†source】.

However, specific metric names like ""energy per request,"" ""energy-delay product (EDP),"" ""power consumption,"" or ""PUE"" are not explicitly mentioned in the paper. The emphasis is primarily on the practical aspects of measuring and optimizing energy consumption within the GreenFog framework for sustainable Fog computing environments.",,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.3,What energy efficiency metrics are commonly used to evaluate microservices?,RQ2.3.P2,Measurement Scope,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.3,What energy efficiency metrics are commonly used to evaluate microservices?,RQ2.3.P3,Normalization Basis,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ2,RQ2.3,What energy efficiency metrics are commonly used to evaluate microservices?,RQ2.3.P4,Business Relevance,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.1,What approaches are used to improve energy efficiency in microservice architectures?,RQ3.1.P1,Modernization Strategy,"The strategies used to improve energy efficiency in microservice architectures within the GreenFog framework include:
- Designing and implementing an Integer Programming optimization model with exact energy requirements knowledge for different components as a baseline.
- Proposing a heuristic approach based on linear regression to overcome the limitations of the Integer Programming model.
- Proposing a machine learning model based on the Multi-Armed Bandit problem to effectively adapt Quality of Service (QoS) to maximize renewable energy utilization .",,,,,,,,,,,,,,,,,,,,,,,,
